microbe,organism_type,gram_status,analyte_category,replicate_type,replicate_id,strain,condition,reference_csv,reference_image,reference_mzxml,notes,keyword_tags
Achromobacter xylosoxidans,Bacterium,Gram-negative,Lipid A,Technical,rep1,Unknown,standard,,,data/spectra/Achromobacter xylosoxidans.mzXML,Reference mzXML,achromobacter gram negative non fermenter rod
Acinetobacter baumannii rep1,Unknown,Unknown,Unknown,Technical,rep1,Unknown,standard,,,data/spectra/Acinetobacter_baumannii_rep1.mzXML,Review classification,acinetobacter baumannii rep1
Aerococcus urinae,Bacterium,Gram-positive,Cardiolipin Profile,Technical,rep1,Unknown,standard,,,data/spectra/Aerococcus urinae.mzXML,Reference mzXML,aerococcus urinae gram positive cocci urine
Candida albicans,Yeast,Not Applicable,Sterol Profile,Technical,rep1,Unknown,standard,,,data/spectra/Candida albicans.mzXML,Reference mzXML,candida albicans yeast fungal
Candida dubliniensis,Yeast,Not Applicable,Sterol Profile,Technical,rep1,Unknown,standard,,,data/spectra/Candida dubliniensis.mzXML,Reference mzXML,candida dubliniensis yeast fungal
Candida duobushaemulonii,Yeast,Not Applicable,Sterol Profile,Technical,rep1,Unknown,standard,,,data/spectra/Candida duobushaemulonii.mzXML,Reference mzXML,candida duobushaemulonii yeast fungal
Candida glabrata,Yeast,Not Applicable,Sterol Profile,Technical,rep1,Unknown,standard,,,data/spectra/Candida glabrata.mzXML,Reference mzXML,candida glabrata yeast fungal
Candida haemulonii,Yeast,Not Applicable,Sterol Profile,Technical,rep1,Unknown,standard,,,data/spectra/Candida haemulonii.mzXML,Reference mzXML,candida haemulonii yeast fungal
Candida krusei,Yeast,Not Applicable,Sterol Profile,Technical,rep1,Unknown,standard,,,data/spectra/Candida krusei.mzXML,Reference mzXML,candida krusei yeast fungal
Candida lusitaniae,Yeast,Not Applicable,Sterol Profile,Technical,rep1,Unknown,standard,,,data/spectra/Candida lusitaniae.mzXML,Reference mzXML,candida lusitaniae yeast fungal
Candida parapsilosis,Yeast,Not Applicable,Sterol Profile,Technical,rep1,Unknown,standard,,,data/spectra/Candida parapsilosis.mzXML,Reference mzXML,candida parapsilosis yeast fungal
Citrobacter xylosoxidans,Bacterium,Gram-negative,Lipid A,Technical,rep1,Unknown,standard,,,data/spectra/Citrobacter xylosoxidans.mzXML,Reference mzXML,citrobacter gram negative rod
Corynebacterium tuscaniense,Bacterium,Gram-positive,Cardiolipin Profile,Technical,rep1,Unknown,standard,,,data/spectra/Corynebacterium tuscaniense.mzXML,Reference mzXML,corynebacterium gram positive rod
